"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
"116.58","157.51","field_error","field_error","Starling Heredia reaches on a fielding error by shortstop Leonardo Rivas.  ","Starling Heredia","Nathan Bates",0,2,2,"ground_ball",5,2,5,2,1,0,"R","R",13,"576753.00",58,7,"N","2019-08-30"
"159.48","171.81","field_out","field_out","Garrett Hope grounds out, first baseman Devin Davis to pitcher Nathan Bates.  ","Garrett Hope","Nathan Bates",2,1,1,"ground_ball",4,2,4,2,1,0,"R","R",13,"576753.00",52,6,"N","2019-08-30"
,,,"strikeout","Marcus Chiu strikes out swinging.  ","Marcus Chiu","Kyle Bradish",1,0,2,,4,1,4,1,0,0,"R","R",13,"576753.00",35,4,"N","2019-08-30"
,,,"walk","Devin Mann walks.  ","Devin Mann","Kyle Bradish",2,3,1,,4,1,4,2,0,0,"R","R",13,"576753.00",45,5,"N","2019-08-30"
,,,"strikeout","Brayan Morales called out on strikes.  ","Brayan Morales","Kyle Bradish",0,0,2,,0,0,0,0,0,0,"R","R",13,"576753.00",4,1,"N","2019-08-30"
,,,"walk","Brayan Morales walks.  ","Brayan Morales","Kyle Bradish",0,3,2,,3,0,3,0,0,0,"R","R",13,"576753.00",24,3,"N","2019-08-30"
,,,"walk","Deacon Liput walks.   Miguel Vargas to 2nd.  ","Deacon Liput","Kyle Bradish",0,3,1,,3,0,3,0,0,0,"L","R",13,"576753.00",16,2,"N","2019-08-30"
,,,"walk","Brayan Morales walks.  ","Brayan Morales","Kyle Bradish",0,3,2,,4,1,4,1,0,0,"R","R",13,"576753.00",42,5,"N","2019-08-30"
"50.65","87.61","double","double","Deacon Liput doubles (11) on a sharp line drive to left fielder Spencer Griffin.  ","Deacon Liput","Kyle Bradish",1,1,2,"line_drive",4,1,4,1,1,1,"L","R",13,"576753.00",34,4,"N","2019-08-30"
"145.18","154.33","force_out","force_out","Jeren Kendall grounds into a force out, second baseman Michael Stefanic to shortstop Leonardo Rivas.   Starling Heredia to 3rd.    Brayan Morales out at 2nd.    Jeren Kendall to 1st.  ","Jeren Kendall","Kyle Bradish",0,0,1,"ground_ball",3,0,3,0,1,0,"L","R",13,"576753.00",25,3,"N","2019-08-30"
